0.800000 ; -0.400000 
-0.757530 ; 0.554649 ; -0.114965 
-0.756902 ; 0.554189 ; -0.114870 
-0.756275 ; 0.553730 ; -0.114775 
-0.755648 ; 0.553270 ; -0.114679 
-0.755021 ; 0.552812 ; -0.114584 
-0.754395 ; 0.552353 ; -0.114489 
-0.753770 ; 0.551895 ; -0.114394 
-0.753145 ; 0.551438 ; -0.114300 
-0.752520 ; 0.550981 ; -0.114205 
-0.751896 ; 0.550524 ; -0.114110 
-0.751273 ; 0.550067 ; -0.114015 
-0.750650 ; 0.549611 ; -0.113921 
-0.750028 ; 0.549156 ; -0.113827 
-0.749406 ; 0.548700 ; -0.113732 
-0.748785 ; 0.548245 ; -0.113638 
-0.748164 ; 0.547791 ; -0.113544 
-0.747544 ; 0.547337 ; -0.113449 
-0.746924 ; 0.546883 ; -0.113355 
-0.746304 ; 0.546429 ; -0.113261 
-0.745686 ; 0.545976 ; -0.113168 
-0.745067 ; 0.545524 ; -0.113074 
-0.744450 ; 0.545071 ; -0.112980 
-0.743832 ; 0.544620 ; -0.112886 
-0.743216 ; 0.544168 ; -0.112793 
-0.742600 ; 0.543717 ; -0.112699 
-0.741984 ; 0.543266 ; -0.112606 
-0.741369 ; 0.542816 ; -0.112512 
-0.740754 ; 0.542366 ; -0.112419 
-0.740140 ; 0.541916 ; -0.112326 
-0.739526 ; 0.541467 ; -0.112233 
-0.738913 ; 0.541018 ; -0.112140 
-0.738300 ; 0.540569 ; -0.112047 
-0.737688 ; 0.540121 ; -0.111954 
-0.737077 ; 0.539673 ; -0.111861 
-0.736466 ; 0.539226 ; -0.111768 
-0.735855 ; 0.538779 ; -0.111676 
-0.735245 ; 0.538332 ; -0.111583 
-0.734635 ; 0.537886 ; -0.111490 
-0.734026 ; 0.537440 ; -0.111398 
-0.733418 ; 0.536994 ; -0.111306 
-0.732810 ; 0.536549 ; -0.111213 
-0.732202 ; 0.536104 ; -0.111121 
-0.731595 ; 0.535659 ; -0.111029 
-0.730988 ; 0.535215 ; -0.110937 
-0.730382 ; 0.534772 ; -0.110845 
-0.729777 ; 0.534328 ; -0.110753 
-0.729172 ; 0.533885 ; -0.110661 
-0.728567 ; 0.533443 ; -0.110570 
-0.727963 ; 0.533000 ; -0.110478 
-0.727359 ; 0.532558 ; -0.110386 
-0.726756 ; 0.532117 ; -0.110295 
-0.726154 ; 0.531676 ; -0.110203 
-0.725552 ; 0.531235 ; -0.110112 
-0.724950 ; 0.530794 ; -0.110021 
-0.724349 ; 0.530354 ; -0.109929 
-0.723749 ; 0.529915 ; -0.109838 
-0.723149 ; 0.529475 ; -0.109747 
-0.722549 ; 0.529036 ; -0.109656 
-0.721950 ; 0.528598 ; -0.109565 
-0.721351 ; 0.528159 ; -0.109474 
-0.720753 ; 0.527721 ; -0.109384 
-0.720156 ; 0.527284 ; -0.109293 
-0.719559 ; 0.526847 ; -0.109202 
-0.718962 ; 0.526410 ; -0.109112 
-0.718366 ; 0.525973 ; -0.109021 
-0.717770 ; 0.525537 ; -0.108931 
-0.717175 ; 0.525102 ; -0.108841 
-0.716581 ; 0.524666 ; -0.108750 
-0.715987 ; 0.524231 ; -0.108660 
-0.715393 ; 0.523797 ; -0.108570 
-0.714800 ; 0.523362 ; -0.108480 
-0.714207 ; 0.522928 ; -0.108390 
-0.713615 ; 0.522495 ; -0.108300 
-0.713023 ; 0.522062 ; -0.108211 
-0.712432 ; 0.521629 ; -0.108121 
-0.711841 ; 0.521196 ; -0.108031 
-0.711251 ; 0.520764 ; -0.107942 
-0.710662 ; 0.520332 ; -0.107852 
-0.710072 ; 0.519901 ; -0.107763 
